"PVWatts: Hourly PV Performance Data"
"Requested Location:","5860 dirac st"
"Location:","SAN DIEGO, CA"
"Lat (deg N):","32.73"
"Long (deg W):","117.17"
"Elev (m):","9"
"DC System Size (kW):","3"
"Module Type:","Standard"
"Array Type:","Fixed (roof mount)"
"Array Tilt (deg):","17"
"Array Azimuth (deg):","200"
"System Losses:","12.30"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.23"
"Initial Cost","2.66"
"Cost of Electricity Generated by System ($/kWh):","0.09"

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","8.9","0","0","8.9","0","0"
"1","1","1","0","0","7.8","2.1","0","7.8","0","0"
"1","1","2","0","0","7.8","1.5","0","7.8","0","0"
"1","1","3","0","0","7.2","1.5","0","7.2","0","0"
"1","1","4","0","0","5.6","1.5","0","5.6","0","0"
"1","1","5","0","0","6.1","0","0","6.1","0","0"
"1","1","6","12","3","5","2.6","3.606","2.738","9.079","0"
"1","1","7","11","41","7.2","2.1","42.357","6.055","119.364","100.439"
"1","1","8","104","149","9.4","1.5","194.651","13.7","526.848","499.099"
"1","1","9","883","45","12.2","2.6","540.546","26.491","1362.563","1310.814"
"1","1","10","808","84","15.6","4.1","652.715","31.681","1641.958","1580.416"
"1","1","11","429","162","16.1","3.1","515.2","30.501","1313.855","1263.723"
"1","1","12","693","143","17.2","3.6","711.945","35.382","1772.662","1706.234"
"1","1","13","486","175","16.7","4.6","564.388","30.227","1439.134","1384.79"
"1","1","14","746","59","16.7","5.7","547.466","27.902","1392.801","1340.035"
"1","1","15","688","31","15.6","4.1","370.336","24.783","920.717","882.646"
"1","1","16","230","21","13.9","2.6","108.64","16.508","263.874","242.035"
"1","1","17","0","0","13.3","3.6","0","13.3","0","0"
"1","1","18","0","0","12.8","1.5","0","12.8","0","0"
"1","1","19","0","0","11.1","1.5","0","11.1","0","0"
"1","1","20","0","0","9.4","0","0","9.4","0","0"
"1","1","21","0","0","9.4","1.5","0","9.4","0","0"
"1","1","22","0","0","8.9","2.1","0","8.9","0","0"
"1","1","23","0","0","8.3","1.5","0","8.3","0","0"
"1","2","0","0","0","8.3","1.5","0","8.3","0","0"
"1","2","1","0","0","7.8","1.5","0","7.8","0","0"
"1","2","2","0","0","7.8","2.1","0","7.8","0","0"
"1","2","3","0","0","8.3","2.1","0","8.3","0","0"
"1","2","4","0","0","7.8","1.5","0","7.8","0","0"
"1","2","5","0","0","6.7","0","0","6.7","0","0"
"1","2","6","1","1","8.9","2.1","1.033","7.011","2.835","0"
"1","2","7","42","42","8.3","1.5","51.41","7.322","138.9","119.595"
"1","2","8","137","145","10.6","1.5","205.532","15.339","548.95","520.669"
"1","2","9","128","199","12.8","1.5","282.369","21.042","749.338","715.974"
"1","2","10","382","207","15","2.1","488.549","28.999","1250.963","1202.878"
"1","2","11","165","255","16.1","1.5","401.554","29.738","1030.428","989.168"
"1","2","12","165","256","17.2","2.6","408.653","28.535","1055.093","1013.097"
"1","2","13","147","312","16.7","3.1","455.124","28.66","1174.033","1128.391"
"1","2","14","188","149","16.7","4.1","284.178","23.47","745.937","712.663"
"1","2","15","153","122","15.6","3.1","218.461","20.718","574.064","545.171"
"1","2","16","174","28","15","2.1","99.309","16.879","246.114","224.647"
"1","2","17","0","0","12.2","2.6","0","12.2","0","0"
"1","2","18","0","0","12.2","2.6","0","12.2","0","0"
"1","2","19","0","0","12.8","0","0","12.8","0","0"
"1","2","20","0","0","11.7","0","0","11.7","0","0"
"1","2","21","0","0","12.2","0","0","12.2","0","0"
"1","2","22","0","0","10.6","2.1","0","10.6","0","0"
"1","2","23","0","0","10","1.5","0","10","0","0"
"1","3","0","0","0","10.6","0","0","10.6","0","0"
"1","3","1","0","0","10","2.1","0","10","0","0"
"1","3","2","0","0","10","3.1","0","10","0","0"
"1","3","3","0","0","10.6","0","0","10.6","0","0"
"1","3","4","0","0","10","0","0","10","0","0"
"1","3","5","0","0","10.6","0","0","10.6","0","0"
"1","3","6","1","1","9.4","2.6","1.032","7.581","2.827","0"
"1","3","7","11","31","10.6","0","32.524","7.343","90.683","72.308"
"1","3","8","14","106","11.7","0","109.962","13.541","303.202","280.53"
"1","3","9","12","183","14.4","1.5","189.559","18.983","512.134","484.737"
"1","3","10","0","213","14.4","1.5","213.039","20.24","573.045","544.177"
"1","3","11","6","237","16.1","1.5","242.979","23.081","644.949","614.29"
"1","3","12","5","268","16.7","2.6","277.888","23.703","735.512","702.514"
"1","3","13","2","213","16.7","2.6","218.343","22.134","582.158","553.066"
"1","3","14","5","185","15.6","2.6","195.688","20.128","526.455","498.715"
"1","3","15","2","103","15","3.1","108.97","16.764","297.636","275.082"
"1","3","16","0","31","14.4","2.1","33.051","13.648","91.597","73.205"
"1","3","17","0","0","14.4","1.5","0","14.4","0","0"
"1","3","18","0","0","13.9","3.1","0","13.9","0","0"
"1","3","19","0","0","13.9","0","0","13.9","0","0"
"1","3","20","0","0","14.4","1.5","0","14.4","0","0"
"1","3","21","0","0","14.4","1.5","0","14.4","0","0"
"1","3","22","0","0","12.8","2.1","0","12.8","0","0"
"1","3","23","0","0","12.8","2.1","0","12.8","0","0"
"1","4","0","0","0","12.2","1.5","0","12.2","0","0"
"1","4","1","0","0","12.8","1.5","0","12.8","0","0"
