Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
8/20/2014,12:00 AM,60,0.27,Direct,,NoTOU
8/20/2014,1:00 AM,60,0.265,Direct,,NoTOU
8/20/2014,2:00 AM,60,0.255,Direct,,NoTOU
8/20/2014,3:00 AM,60,0.25,Direct,,NoTOU
8/20/2014,4:00 AM,60,0.24,Direct,,NoTOU
8/20/2014,5:00 AM,60,0.24,Direct,,NoTOU
8/20/2014,6:00 AM,60,0.355,Direct,,NoTOU
8/20/2014,7:00 AM,60,0.23,Direct,,NoTOU
8/20/2014,8:00 AM,60,0.42,Direct,,NoTOU
8/20/2014,9:00 AM,60,0.25,Direct,,NoTOU
8/20/2014,10:00 AM,60,0.245,Direct,,NoTOU
8/20/2014,11:00 AM,60,0.22,Direct,,NoTOU
8/20/2014,12:00 PM,60,0.215,Direct,,NoTOU
8/20/2014,1:00 PM,60,0.22,Direct,,NoTOU
8/20/2014,2:00 PM,60,0.23,Direct,,NoTOU
8/20/2014,3:00 PM,60,0.225,Direct,,NoTOU
8/20/2014,4:00 PM,60,0.225,Direct,,NoTOU
8/20/2014,5:00 PM,60,0.235,Direct,,NoTOU
8/20/2014,6:00 PM,60,0.27,Direct,,NoTOU
8/20/2014,7:00 PM,60,0.25,Direct,,NoTOU
8/20/2014,8:00 PM,60,0.7,Direct,,NoTOU
8/20/2014,9:00 PM,60,0.475,Direct,,NoTOU
8/20/2014,10:00 PM,60,0.335,Direct,,NoTOU
8/20/2014,11:00 PM,60,0.255,Direct,,NoTOU
8/21/2014,12:00 AM,60,0.26,Direct,,NoTOU
8/21/2014,1:00 AM,60,0.385,Direct,,NoTOU
8/21/2014,2:00 AM,60,0.465,Direct,,NoTOU
8/21/2014,3:00 AM,60,0.375,Direct,,NoTOU
8/21/2014,4:00 AM,60,0.315,Direct,,NoTOU
8/21/2014,5:00 AM,60,0.365,Direct,,NoTOU
8/21/2014,6:00 AM,60,0.27,Direct,,NoTOU
8/21/2014,7:00 AM,60,0.355,Direct,,NoTOU
8/21/2014,8:00 AM,60,0.255,Direct,,NoTOU
8/21/2014,9:00 AM,60,0.245,Direct,,NoTOU
8/21/2014,10:00 AM,60,0.225,Direct,,NoTOU
8/21/2014,11:00 AM,60,0.22,Direct,,NoTOU
8/21/2014,12:00 PM,60,0.24,Direct,,NoTOU
8/21/2014,1:00 PM,60,0.225,Direct,,NoTOU
8/21/2014,2:00 PM,60,0.225,Direct,,NoTOU
8/21/2014,3:00 PM,60,0.23,Direct,,NoTOU
8/21/2014,4:00 PM,60,0.225,Direct,,NoTOU
8/21/2014,5:00 PM,60,0.225,Direct,,NoTOU
8/21/2014,6:00 PM,60,0.335,Direct,,NoTOU
8/21/2014,7:00 PM,60,1.115,Direct,,NoTOU
8/21/2014,8:00 PM,60,2.84,Direct,,NoTOU
8/21/2014,9:00 PM,60,0.435,Direct,,NoTOU
8/21/2014,10:00 PM,60,1.64,Direct,,NoTOU
8/21/2014,11:00 PM,60,0.87,Direct,,NoTOU
8/22/2014,12:00 AM,60,0.295,Direct,,NoTOU
8/22/2014,1:00 AM,60,0.255,Direct,,NoTOU
8/22/2014,2:00 AM,60,0.24,Direct,,NoTOU
8/22/2014,3:00 AM,60,0.235,Direct,,NoTOU
8/22/2014,4:00 AM,60,0.245,Direct,,NoTOU
8/22/2014,5:00 AM,60,0.285,Direct,,NoTOU
8/22/2014,6:00 AM,60,0.235,Direct,,NoTOU
8/22/2014,7:00 AM,60,0.225,Direct,,NoTOU
8/22/2014,8:00 AM,60,0.39,Direct,,NoTOU
8/22/2014,9:00 AM,60,0.81,Direct,,NoTOU
8/22/2014,10:00 AM,60,0.765,Direct,,NoTOU
8/22/2014,11:00 AM,60,0.435,Direct,,NoTOU
8/22/2014,12:00 PM,60,0.225,Direct,,NoTOU
8/22/2014,1:00 PM,60,0.365,Direct,,NoTOU
8/22/2014,2:00 PM,60,0.805,Direct,,NoTOU
8/22/2014,3:00 PM,60,0.995,Direct,,NoTOU
8/22/2014,4:00 PM,60,0.88,Direct,,NoTOU
8/22/2014,5:00 PM,60,0.805,Direct,,NoTOU
8/22/2014,6:00 PM,60,0.49,Direct,,NoTOU
8/22/2014,7:00 PM,60,0.22,Direct,,NoTOU
8/22/2014,8:00 PM,60,0.22,Direct,,NoTOU
8/22/2014,9:00 PM,60,0.435,Direct,,NoTOU
8/22/2014,10:00 PM,60,0.475,Direct,,NoTOU
8/22/2014,11:00 PM,60,0.38,Direct,,NoTOU
8/23/2014,12:00 AM,60,0.33,Direct,,NoTOU
8/23/2014,1:00 AM,60,0.325,Direct,,NoTOU
8/23/2014,2:00 AM,60,0.31,Direct,,NoTOU
8/23/2014,3:00 AM,60,0.305,Direct,,NoTOU
8/23/2014,4:00 AM,60,0.325,Direct,,NoTOU
8/23/2014,5:00 AM,60,0.31,Direct,,NoTOU
8/23/2014,6:00 AM,60,0.29,Direct,,NoTOU
8/23/2014,7:00 AM,60,0.415,Direct,,NoTOU
8/23/2014,8:00 AM,60,0.53,Direct,,NoTOU
8/23/2014,9:00 AM,60,0.565,Direct,,NoTOU
8/23/2014,10:00 AM,60,0.23,Direct,,NoTOU
8/23/2014,11:00 AM,60,0.285,Direct,,NoTOU
8/23/2014,12:00 PM,60,0.195,Direct,,NoTOU
8/23/2014,1:00 PM,60,0.195,Direct,,NoTOU
8/23/2014,2:00 PM,60,0.185,Direct,,NoTOU
