Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,8.9,0,0,8.9,0,0
1,1,1,0,0,7.8,2.1,0,7.8,0,0
1,1,2,0,0,7.8,1.5,0,7.8,0,0
1,1,3,0,0,7.2,1.5,0,7.2,0,0
1,1,4,0,0,5.6,1.5,0,5.6,0,0
1,1,5,0,0,6.1,0,0,6.1,0,0
1,1,6,12,3,5,2.6,3.632,2.739,9.285,0
1,1,7,11,41,7.2,2.1,42.295,6.054,121.548,101.916
1,1,8,104,149,9.4,1.5,195.555,13.731,540.043,511.373
1,1,9,883,45,12.2,2.6,549.107,26.736,"1,412.885","1,359.206"
1,1,10,808,84,15.6,4.1,663.233,31.96,"1,701.109","1,637.345"
1,1,11,429,162,16.1,3.1,522.959,30.742,"1,359.327","1,307.422"
1,1,12,693,143,17.2,3.6,725.022,35.732,"1,839.187","1,770.269"
1,1,13,486,175,16.7,4.6,575.017,30.508,"1,494.612","1,438.166"
1,1,14,746,59,16.7,5.7,562.192,28.23,"1,459.889","1,404.627"
1,1,15,688,31,15.6,4.1,383.557,25.156,976.787,936.643
1,1,16,230,21,13.9,2.6,114.053,16.722,285.417,262.474
1,1,17,0,0,13.3,3.6,0,13.3,0,0
1,1,18,0,0,12.8,1.5,0,12.8,0,0
1,1,19,0,0,11.1,1.5,0,11.1,0,0
1,1,20,0,0,9.4,0,0,9.4,0,0
1,1,21,0,0,9.4,1.5,0,9.4,0,0
1,1,22,0,0,8.9,2.1,0,8.9,0,0
1,1,23,0,0,8.3,1.5,0,8.3,0,0
1,2,0,0,0,8.3,1.5,0,8.3,0,0
1,2,1,0,0,7.8,1.5,0,7.8,0,0
1,2,2,0,0,7.8,2.1,0,7.8,0,0
1,2,3,0,0,8.3,2.1,0,8.3,0,0
1,2,4,0,0,7.8,1.5,0,7.8,0,0
1,2,5,0,0,6.7,0,0,6.7,0,0
1,2,6,1,1,8.9,2.1,1.033,7.039,2.885,0
1,2,7,42,42,8.3,1.5,51.693,7.332,142.467,122.429
1,2,8,137,145,10.6,1.5,206.849,15.385,563.757,534.517
1,2,9,128,199,12.8,1.5,284.131,21.108,769.097,734.669
1,2,10,382,207,15,2.1,494.156,29.173,"1,290.206","1,240.545"
1,2,11,165,255,16.1,1.5,404.987,29.877,"1,059.44","1,016.891"
1,2,12,165,256,17.2,2.6,412.658,28.661,"1,086.225","1,042.88"
1,2,13,147,312,16.7,3.1,459.79,28.798,"1,209.175","1,162.077"
1,2,14,188,149,16.7,4.1,288.558,23.593,772.836,738.309
1,2,15,153,122,15.6,3.1,222.814,20.853,597.9,567.829
1,2,16,174,28,15,2.1,103.765,17.039,264.338,241.837
1,2,17,0,0,12.2,2.6,0,12.2,0,0
1,2,18,0,0,12.2,2.6,0,12.2,0,0
1,2,19,0,0,12.8,0,0,12.8,0,0
1,2,20,0,0,11.7,0,0,11.7,0,0
1,2,21,0,0,12.2,0,0,12.2,0,0
1,2,22,0,0,10.6,2.1,0,10.6,0,0
1,2,23,0,0,10,1.5,0,10,0,0
1,3,0,0,0,10.6,0,0,10.6,0,0
1,3,1,0,0,10,2.1,0,10,0,0
1,3,2,0,0,10,3.1,0,10,0,0
1,3,3,0,0,10.6,0,0,10.6,0,0
1,3,4,0,0,10,0,0,10,0,0
1,3,5,0,0,10.6,0,0,10.6,0,0
1,3,6,1,1,9.4,2.6,1.032,7.601,2.876,0
1,3,7,11,31,10.6,0,32.493,7.342,92.389,73.316
1,3,8,14,106,11.7,0,109.768,13.529,308.718,285.281
1,3,9,12,183,14.4,1.5,189.335,18.974,521.726,493.491
1,3,10,0,213,14.4,1.5,212.662,20.226,583.417,553.7
1,3,11,6,237,16.1,1.5,242.748,23.071,657.159,625.617
1,3,12,5,268,16.7,2.6,277.948,23.704,750.273,716.34
1,3,13,2,213,16.7,2.6,218.302,22.133,593.607,563.641
1,3,14,5,185,15.6,2.6,196.039,20.138,537.859,509.241
1,3,15,2,103,15,3.1,109.224,16.772,304.249,280.907
1,3,16,0,31,14.4,2.1,33.167,13.653,93.74,74.642
1,3,17,0,0,14.4,1.5,0,14.4,0,0
1,3,18,0,0,13.9,3.1,0,13.9,0,0
1,3,19,0,0,13.9,0,0,13.9,0,0
1,3,20,0,0,14.4,1.5,0,14.4,0,0
1,3,21,0,0,14.4,1.5,0,14.4,0,0
1,3,22,0,0,12.8,2.1,0,12.8,0,0
1,3,23,0,0,12.8,2.1,0,12.8,0,0
1,4,0,0,0,12.2,1.5,0,12.2,0,0
1,4,1,0,0,12.8,1.5,0,12.8,0,0
1,4,2,0,0,12.2,0,0,12.2,0,0
1,4,3,0,0,11.1,0,0,11.1,0,0
1,4,4,0,0,11.7,0,0,11.7,0,0
1,4,5,0,0,10.6,0,0,10.6,0,0
1,4,6,0,2,11.1,0,1.949,6.965,5.672,0
1,4,7,16,34,11.1,0,36.557,8.065,102.954,83.68
1,4,8,96,125,13.9,0,168.53,18.969,453.695,427.047
1,4,9,565,117,16.1,2.1,454.102,28.562,"1,167.137","1,121.341"
1,4,10,704,125,18.3,2.1,639.356,37.357,"1,598.734","1,538.656"
1,4,11,742,119,19.4,3.1,721.419,39.07,"1,797.883","1,730.529"
1,4,12,528,198,19.4,3.1,653.897,37.592,"1,644.789","1,583.066"
1,4,13,374,218,19.4,3.6,532.754,33.471,"1,366.482","1,314.342"
